vid,id,name,name_en,external_uri,weight,parent
feature_type,HES-000571,budova/stavba,building/structure,http://vocab.getty.edu/aat/300004792,100,
feature_type,HES-000572,zahloubený objekt,sunken feature,http://vocab.getty.edu/aat/300008020,200,
feature_type,HES-000573,konstrukční prvek,architectural element,http://vocab.getty.edu/aat/300000885,300,
feature_type,HES-000574,vrstva/souvrství,layer/layer sequence,http://vocab.getty.edu/aat/300226788,400,
feature_type,HES-000575,inženýrské sítě,utilities,http://vocab.getty.edu/aat/300152723,500,
feature_type,HES-000576,komunikace,transportation structure,http://vocab.getty.edu/aat/300120693,600,
feature_type,HES-000577,kultovní/sakrální objekt,ritual/sacral feature,http://vocab.getty.edu/aat/300263489,700,
feature_type,HES-000578,objekt/stopa výroby,production feature/trace,http://vocab.getty.edu/aat/300164121,800,
feature_type,HES-000579,ohrazení/fortifikace,enclosure/fortification,http://vocab.getty.edu/aat/300424383,900,
feature_type,HES-000580,otopné zařízení,heating equipment,http://vocab.getty.edu/aat/300163292,1000,
feature_type,HES-000581,pohřební objekt,funerary structure,http://vocab.getty.edu/aat/300122208,1100,
feature_type,HES-000582,přírodní útvar,natural landform,http://vocab.getty.edu/aat/300266060,1200,
feature_type,HES-000583,pyrotechnologické zařízení,pyrotechnological device,http://vocab.getty.edu/aat/300022798,1300,
feature_type,HES-000584,těžební objekt,mining feature,http://vocab.getty.edu/aat/300000388,1400,
feature_type,HES-000585,nespecifikovaný reliéfní útvar,unspecified terrain feature,http://vocab.getty.edu/aat/300387704,1600,
feature_type,HES-000421,otopné zařízení,heating equipment,http://vocab.getty.edu/aat/300163292,1000,HES-000580
feature_type,HES-000422,kamna,stove,http://vocab.getty.edu/aat/300052201,1001,HES-000580
feature_type,HES-000423,ohniště,fireplace,http://vocab.getty.edu/aat/300052267,1002,HES-000580
feature_type,HES-000424,otopná pec,oven,http://vocab.getty.edu/aat/300003650,1003,HES-000580
feature_type,HES-000425,topný kanál,heating channel,http://vocab.getty.edu/aat/300051531,1004,HES-000580
feature_type,HES-000426,pohřební objekt,funerary structure,http://vocab.getty.edu/aat/300122208,1100,HES-000581
feature_type,HES-000427,hrob,grave,http://vocab.getty.edu/aat/300005907,1101,HES-000581
feature_type,HES-000428,hrob komorový,chamber grave,http://vocab.getty.edu/aat/300005935,1102,HES-000581
feature_type,HES-000429,hrob skříňkový,cist grave,http://vocab.getty.edu/aat/300005941,1103,HES-000581
feature_type,HES-000430,hrobka,tomb,http://vocab.getty.edu/aat/300005926,1104,HES-000581
feature_type,HES-000431,mohyla,burial mound,http://vocab.getty.edu/aat/300005903,1105,HES-000581
feature_type,HES-000432,kostnice,ossuary,http://vocab.getty.edu/aat/300005897,1106,HES-000581
feature_type,HES-000433,náhrobek/náhrobní kámen,gravestone,http://vocab.getty.edu/aat/300005923,1107,HES-000581
feature_type,HES-000434,pohřeb kostrový,inhumation burial,http://vocab.getty.edu/aat/300379896,1108,HES-000581
feature_type,HES-000435,pohřeb žárový,cremation burial,http://vocab.getty.edu/aat/300266358,1109,HES-000581
feature_type,HES-000436,pohřeb zvířete,animal burial,http://vocab.getty.edu/aat/300251797,1110,HES-000581
feature_type,HES-000437,pohřeb v sídlištním objektu,burial in settlement context,http://vocab.getty.edu/aat/300387004,1111,HES-000581
feature_type,HES-000438,budova/stavba,building/structure,http://vocab.getty.edu/aat/300004792,100,HES-000571
feature_type,HES-000439,budova obytná,residential building,http://vocab.getty.edu/aat/300257729,101,HES-000571
feature_type,HES-000440,budova hospodářská,non-residential building,http://vocab.getty.edu/aat/300008001,102,HES-000571
feature_type,HES-000441,jáma,pit,http://vocab.getty.edu/aat/300008027,201,HES-000572
feature_type,HES-000442,jáma kůlová/sloupová,stakehole/posthole,http://vocab.getty.edu/aat/300400666,202,HES-000572
feature_type,HES-000443,jáma stavební,construction pit,http://vocab.getty.edu/aat/300108265,204,HES-000572
feature_type,HES-000444,jáma zásobní,storage pit,http://vocab.getty.edu/aat/300005018,205,HES-000572
