vid,id,name,name_en,external_uri,weight,parent
object_type,HES-000842,běžný nález,common find,http://vocab.getty.edu/aat/300117127,100,
object_type,HES-000843,architektonický článek,architectural element,http://vocab.getty.edu/aat/300000885,200,
object_type,HES-000844,doklad umění/kultu,artistic/ritual object,http://vocab.getty.edu/aat/300234117,300,
object_type,HES-000845,ekofakt,ecofact,http://vocab.getty.edu/aat/300423942,400,
object_type,HES-000846,funkčně neurčený předmět,object of unspecified function,http://vocab.getty.edu/aat/300117127,500,
object_type,HES-000847,militaria,weapons and armour,http://vocab.getty.edu/aat/300185689,600,
object_type,HES-000848,platidlo,currency,http://vocab.getty.edu/aat/300387350,700,
object_type,HES-000849,nádoba,vessel,http://vocab.getty.edu/aat/300193015,800,
object_type,HES-000850,nástroj hrubý,utensil,http://vocab.getty.edu/aat/300241917,900,
object_type,HES-000851,nástroj jemný,instrument,http://vocab.getty.edu/aat/300024838,1000,
object_type,HES-000852,nehotový výrobek/polotovar,semiproduct/blank,http://vocab.getty.edu/aat/300194594,1100,
object_type,HES-000853,ozdoba,adornment,http://vocab.getty.edu/aat/300386734,1200,
object_type,HES-000854,písemnost,written document,http://vocab.getty.edu/aat/300189226,1300,
object_type,HES-000855,postroj/doprava,harness/transportation,http://vocab.getty.edu/aat/300055244,1400,
object_type,HES-000856,součást hrobu,grave component,http://vocab.getty.edu/aat/300122208,1500,
object_type,HES-000857,součást oděvu,costume component,http://vocab.getty.edu/aat/300178802,1600,
object_type,HES-000858,stavební/spojovací prvek,structural element component,http://vocab.getty.edu/aat/300078053,1700,
object_type,HES-000859,herní předmět,game equipment,http://vocab.getty.edu/aat/300419973,1800,
object_type,HES-000860,vzorek,sample,http://vocab.getty.edu/aat/300428645,1900,
object_type,HES-000635,dýmka,pipe,http://vocab.getty.edu/aat/300248067,804,HES-000849
object_type,HES-000636,džbán,jug,http://vocab.getty.edu/aat/300045685,806,HES-000849
object_type,HES-000637,zápona,clasp,http://vocab.getty.edu/aat/300239507,1609,HES-000857
object_type,HES-000638,zavazadlo,luggage,http://vocab.getty.edu/aat/300225937,1610,HES-000857
object_type,HES-000639,zlomek kosti,bone fragment,http://vocab.getty.edu/aat/300191781,104,HES-000842
object_type,HES-000640,kamenná industrie,lithics,http://vocab.getty.edu/aat/300379567,105,HES-000842
object_type,HES-000641,doklad umění/kultu,artistic/ritual object,http://vocab.getty.edu/aat/300234117,300,HES-000844
object_type,HES-000642,kostra,skeleton,http://vocab.getty.edu/aat/300191778,403,HES-000845
object_type,HES-000643,přechovávaná přírodnina,natural object,http://vocab.getty.edu/aat/300404125,408,HES-000845
object_type,HES-000644,rostlinné makrozbytky,plant macro-remain,http://vocab.getty.edu/aat/300375171,409,HES-000845
object_type,HES-000645,struska,slag,http://vocab.getty.edu/aat/300011790,411,HES-000845
object_type,HES-000646,vejce,eggshell,http://vocab.getty.edu/aat/300191893,413,HES-000845
object_type,HES-000647,zub,tooth,http://vocab.getty.edu/aat/300400467,414,HES-000845
object_type,HES-000648,součást zbroje,armor component,http://vocab.getty.edu/aat/300197059,612,HES-000847
object_type,HES-000649,zbraň palná,firearm,http://vocab.getty.edu/aat/300037148,617,HES-000847
object_type,HES-000650,bankovka,paper money,http://vocab.getty.edu/aat/300191324,701,HES-000848
object_type,HES-000651,akvamanile,aquamanile,http://vocab.getty.edu/aat/300045667,801,HES-000849
object_type,HES-000652,amfora,amphorae,http://vocab.getty.edu/aat/300148696,802,HES-000849
object_type,HES-000653,nástroj hrubý,utensil,http://vocab.getty.edu/aat/300241917,900,HES-000850
object_type,HES-000654,kovadlina,anvil,http://vocab.getty.edu/aat/300023119,908,HES-000850
object_type,HES-000655,lopata/rýč,shovel/spade,http://vocab.getty.edu/aat/300024300,909,HES-000850
object_type,HES-000656,otloukač,hammerstone,http://vocab.getty.edu/aat/300024854,911,HES-000850
object_type,HES-000657,pila,saw,http://vocab.getty.edu/aat/300024671,912,HES-000850
object_type,HES-000658,součást pluhu,plow component,http://vocab.getty.edu/aat/300233317,916,HES-000850
object_type,HES-000659,srp,sickle,http://vocab.getty.edu/aat/300264860,917,HES-000850
object_type,HES-000660,škrabadlo,endscraper,http://vocab.getty.edu/aat/300024836,918,HES-000850
object_type,HES-000661,břitva,razor,http://vocab.getty.edu/aat/300236438,1002,HES-000851
object_type,HES-000662,čepel/čepelka,blade/small blade,http://vocab.getty.edu/aat/300024917,1003,HES-000851
object_type,HES-000663,korálek,bead,http://vocab.getty.edu/aat/300234006,1205,HES-000853
object_type,HES-000664,křížek,cross,http://vocab.getty.edu/aat/300429888,1206,HES-000853
object_type,HES-000665,nákrčník,neck ring,http://vocab.getty.edu/aat/300046001,1208,HES-000853
object_type,HES-000666,náramek,bracelet,http://vocab.getty.edu/aat/300045991,1211,HES-000853
object_type,HES-000667,náušnice,earring,http://vocab.getty.edu/aat/300045998,1212,HES-000853
object_type,HES-000668,nákončí,mordant,http://vocab.getty.edu/aat/300262745,1213,HES-000853
object_type,HES-000669,prsten,finger ring,http://vocab.getty.edu/aat/300046012,1214,HES-000853
object_type,HES-000670,listina,deed,http://vocab.getty.edu/aat/300027249,1302,HES-000854
object_type,HES-000671,třmen,stirrup,http://vocab.getty.edu/aat/300255573,1407,HES-000855
object_type,HES-000672,udidlo,bridle bit,http://vocab.getty.edu/aat/300248085,1408,HES-000855
object_type,HES-000673,součást hrobu,grave component,http://vocab.getty.edu/aat/300122208,1500,HES-000856
object_type,HES-000674,součást oděvu,costume component,http://vocab.getty.edu/aat/300178802,1600,HES-000857
object_type,HES-000675,knoflík,button,http://vocab.getty.edu/aat/300239261,1601,HES-000857
object_type,HES-000676,opasek,belt,http://vocab.getty.edu/aat/300210002,1604,HES-000857
object_type,HES-000677,pochva/pouzdro,sheath,http://vocab.getty.edu/aat/300198733,1605,HES-000857
object_type,HES-000678,dlaždice,floor tile,http://vocab.getty.edu/aat/300250799,1702,HES-000858
object_type,HES-000679,hřeb/hřebík/nýt,nail/rivet,http://vocab.getty.edu/aat/300033565,1703,HES-000858
object_type,HES-000680,plech,metal sheet,http://vocab.getty.edu/aat/300014671,506,HES-000846
object_type,HES-000681,herní předmět,game equipment,http://vocab.getty.edu/aat/300419973,1800,HES-000859
object_type,HES-000682,cedník,colander,http://vocab.getty.edu/aat/300200469,803,HES-000849
object_type,HES-000683,průvlečka,clothing buckle,http://vocab.getty.edu/aat/300423332,1606,HES-000857
object_type,HES-000684,hrací kámen,game piece,http://vocab.getty.edu/aat/300211101,1801,HES-000859
object_type,HES-000685,vzorek geologický,geological sample,http://vocab.getty.edu/aat/300054546,1903,HES-000860
object_type,HES-000686,vzorek malakologický,malacological sample,http://vocab.getty.edu/aat/300251929,1904,HES-000860
object_type,HES-000687,prkno/fošna,board/plank,http://vocab.getty.edu/aat/300012825,1712,HES-000858
object_type,HES-000688,stéla,stela,http://vocab.getty.edu/aat/300007023,1502,HES-000856
object_type,HES-000689,dyzna,nozzle,http://vocab.getty.edu/aat/300249766,805,HES-000849
object_type,HES-000690,konvice,pitcher,http://vocab.getty.edu/aat/300194765,809,HES-000849
object_type,HES-000691,lahev,bottle,http://vocab.getty.edu/aat/300045627,811,HES-000849
object_type,HES-000692,vzorek palynologický,palynological sample,http://vocab.getty.edu/aat/300251145,1906,HES-000860
object_type,HES-000693,gombík,spherical button,http://vocab.getty.edu/aat/300239261,1202,HES-000853
object_type,HES-000694,kování,mount,http://vocab.getty.edu/aat/300171585,503,HES-000846
object_type,HES-000695,lampa/kahan,lamp/burner,http://vocab.getty.edu/aat/300037592,812,HES-000849
object_type,HES-000696,hrací kostka,dice,http://vocab.getty.edu/aat/300211084,1802,HES-000859
object_type,HES-000697,vzorek pedologický,pedological sample,http://vocab.getty.edu/aat/300054557,1907,HES-000860
object_type,HES-000698,vzorek paleobotanický,palaeobotanical sample,http://vocab.getty.edu/aat/300379414,1905,HES-000860
object_type,HES-000699,jehlice,clothing pin,http://vocab.getty.edu/aat/300423336,1203,HES-000853
object_type,HES-000700,kaptorga,kaptorga (metal pendant case),http://vocab.getty.edu/aat/300046004,1204,HES-000853
object_type,HES-000701,rolnička,jingle bell,http://vocab.getty.edu/aat/300379261,1216,HES-000853
object_type,HES-000702,růženec/medailon,rosary/medallion,http://vocab.getty.edu/aat/300262831,1217,HES-000853
object_type,HES-000703,součást vozu,cargo vehicle component,http://vocab.getty.edu/aat/300227811,1406,HES-000855
