id,name,name_en,external_uri,parent
ORG-000184,"Západočeské muzeum v Plzni, příspěvková organizace","West Bohemian Museum in Pilsen","https://ror.org/016jp5513",
ORG-000099,"Univerzita Karlova - Filozofická fakulta","Charles University – Faculty of Philosophy","https://ror.org/024d6js02",
ORG-000202,"Národní zemědělské muzeum, s.p.o.","National Museum of Agriculture","https://ror.org/04a98ab79",
ORG-000051,"Ústav archeologické památkové péče středních Čech, příspěvková organizace","Institute for Archaeological Heritage of Central Bohemia","https://ror.org/00grg8947",
ORG-000005,"Ústav pro archeologii a dokumentaci památek, z. ú.","Institute for Archaeology and Documentation of Monuments","",
ORG-000100,"Západočeská univerzita v Plzni - Filozofická fakulta","University of West Bohemia – Faculty of Philosophy","https://ror.org/040t43x18",
ORG-000042,"ZIP o.p.s.","ZIP","",
ORG-000029,"Pueblo - archeologická společnost, o.p.s.","Pueblo - Archaeological Society","",
ORG-000027,"Regionální muzeum K. A. Polánka v Žatci","K. A. Polánek Regional Museum in Žatec","",
ORG-000059,"Vlastivědné muzeum v Šumperku, příspěvková organizace","Local History Museum in Šumperk","https://ror.org/01b2z3d97",
ORG-000152,"Muzeum města Brna, příspěvková organizace","Brno City Museum","",
ORG-000189,"Hornické muzeum Příbram, příspěvková organizace","Mining Museum of Příbram","https://ror.org/03n38sb51",
ORG-000197,"Ostravské muzeum, příspěvková organizace","Museum of Ostrava","",
ORG-000177,"Muzeum Novojičínska, příspěvková organizace","Museum of Novojičínsko","https://ror.org/05nazff88",
ORG-000170,"Muzeum Mladoboleslavska, příspěvková organizace","Museum of Mladoboleslavsko","",
ORG-000140,"Vlastivědné muzeum Dr. Hostaše v Klatovech, příspěvková organizace","Dr. Hostaš Local History Museum in Klatovy","https://ror.org/05h9b8280",
ORG-000133,"Muzeum Cheb, příspěvková organizace Karlovarského kraje","Museum of Cheb","https://ror.org/003prxb56",
ORG-000119,"Muzeum regionu Boskovicka, příspěvková organizace","Museum of the Boskovicko Region","",
ORG-000114,"Masarykova univerzita - Filozofická fakulta","Masaryk University - Faculty of Philosophy","https://ror.org/02j46qs45",
ORG-000112,"Jihočeská univerzita v Českých Budějovicích - Filozofická fakulta","University of South Bohemia – Faculty of Philosophy","https://ror.org/033n3pw66",
ORG-000094,"Archeologický ústav AV ČR, Praha, v. v. i.","Institute of Archaeology of the Czech Academy of Sciences, Prague","https://ror.org/0287jta43",
ORG-000080,"Ministerstvo obrany - Vojenský historický ústav Praha","Institute of Military History in Prague","https://ror.org/01e0a6275",
ORG-000079,"Univerzita Palackého v Olomouci - Filozofická fakulta","University of Palacký Olomouc – Faculty of Philosophy","https://ror.org/04qxnmv42",
ORG-000150,"Muzeum a galerie severního Plzeňska v Mariánské Týnici, příspěvková organizace","Museum and Gallery of Northern Pilsen Region in Mariánská Týnice","",
ORG-000132,"Muzeum východních Čech v Hradci Králové","Museum of Eastern Bohemia in Hradec Králové","https://ror.org/01x1xh678",
ORG-000088,"Archeologická společnost, o.p.s. [zaniklé]","Archaeological Society [defunct]","",
ORG-000097,"Muzeum Českého krasu, příspěvková organizace","Museum of the Bohemian Karst","",
ORG-000168,"Muzeum Českého krasu, příspěvková organizace - pobočka Hořovice","Museum of the Bohemian Karst - Hořovice","",ORG-000097
ORG-000198,"Muzeum Vysočiny Pelhřimov, příspěvková organizace","Museum of Vysočina in Pelhřimov","",
ORG-000077,"Technické muzeum v Brně","Technical Museum in Brno","https://ror.org/00rb9a558",
ORG-000017,"Správa Krkonošského národního parku - Krkonošské muzeum ve Vrchlabí","Krkonoše Museum in Vrchlabí","https://ror.org/02cmw6227",
ORG-000116,"Masarykova univerzita - Přírodovědecká fakulta","Masaryk University - Faculty of Science","https://ror.org/02j46qs45",
ORG-000115,"Masarykova univerzita - Pedagogická fakulta","Masaryk University - Faculty of Education","https://ror.org/02j46qs45",
ORG-000056,"Univerzita Karlova - Přírodověcká fakulta","Charles University – Faculty of Science","https://ror.org/024d6js02",
ORG-000031,"Ústav archeologické památkové péče severozápadních Čech, v. v. i.","Institute for Archaeological Heritage of Northwest Bohemia","https://ror.org/01abd7j14",
ORG-000078,"Ústav archeologické památkové péče Brno, veřejná výzkumná instituce","Institute for Archaeological Heritage Brno","https://ror.org/020rk2m16",
ORG-000030,"Syrakus, z.s.","Syrakus","",
ORG-000046,"Národní památkový ústav - Generální ředitelství","National Heritage Institute - General Directorate","https://ror.org/019k25552",
ORG-000071,"Národní památkový ústav - Územní odborné pracoviště v Brně","National Heritage Institute - Brno Regional Office","",ORG-000046
ORG-000098,"Národní památkový ústav - Územní odborné pracoviště v Českých Budějovicích","National Heritage Institute - České Budějovice Regional Office","",ORG-000046
ORG-000034,"Národní památkový ústav - Územní odborné pracoviště v Josefově","National Heritage Institute - Josefov Regional Office","",ORG-000046
ORG-000072,"Národní památkový ústav - Územní odborné pracoviště v Kroměříži","National Heritage Institute - Kroměříž Regional Office","",ORG-000046
ORG-000035,"Národní památkový ústav - Územní odborné pracoviště v Liberci","National Heritage Institute - Liberec Regional Office","",ORG-000046
ORG-000047,"Národní památkový ústav - Územní odborné pracoviště v Lokti","National Heritage Institute - Loket Regional Office","",ORG-000046
ORG-000074,"Národní památkový ústav - Územní odborné pracoviště v Olomouci","National Heritage Institute - Olomouc Regional Office","",ORG-000046
ORG-000075,"Národní památkový ústav - Územní odborné pracoviště v Ostravě","National Heritage Institute - Ostrava Regional Office","",ORG-000046
ORG-000036,"Národní památkový ústav - Územní odborné pracoviště v Pardubicích","National Heritage Institute - Pardubice Regional Office","",ORG-000046
ORG-000048,"Národní památkový ústav - Územní odborné pracoviště v Plzni","National Heritage Institute - Pilsen Regional Office","",ORG-000046
ORG-000037,"Národní památkový ústav - Územní odborné pracoviště v hl. městě Praze","National Heritage Institute - Prague Regional Office","",ORG-000046
