id,vid,name,name_en,external_uri,weight,parent
HES-000411,relative_datation,pravěk,prehistory,http://vocab.getty.edu/aat/300417277,1700,
HES-000418,relative_datation,datace neurčena,unspecified dating,http://vocab.getty.edu/aat/300379012,2600,
HES-000417,relative_datation,industriální období,Industrial Period,http://vocab.getty.edu/aat/300264736,2400,
HES-000413,relative_datation,vrcholný–pozdní středověk,High–Late Middle Ages,http://vocab.getty.edu/aat/300111307,1900,
HES-000408,relative_datation,doba stěhování národů,Migration Period,http://vocab.getty.edu/aat/300106913,1400,
HES-001470,relative_datation,mladší doba stěhování národů,Late Migration Period,http://vocab.getty.edu/aat/300106913,1420,
HES-001469,relative_datation,starší doba stěhování národů,Early Migration Period,http://vocab.getty.edu/aat/300106913,1410,
HES-000399,relative_datation,eneolit,Eneolithic,http://vocab.getty.edu/aat/300106757,500,
HES-001478,relative_datation,mladší eneolit,Late Eneolithic,http://vocab.getty.edu/aat/300106755,540,
HES-001477,relative_datation,střední eneolit,Middle Eneolithic,http://vocab.getty.edu/aat/300106753,530,
HES-001476,relative_datation,starší eneolit,Early Eneolithic,http://vocab.getty.edu/aat/300106751,520,
HES-001475,relative_datation,časný eneolit,Proto-Eneolithic,http://vocab.getty.edu/aat/300106751,510,
HES-001479,relative_datation,mladší–pozdní eneolit,Late–Final Eneolithic,http://vocab.getty.edu/aat/300106747,550,
HES-001468,relative_datation,pozdní paleolit,Epipalaeolithic,http://vocab.getty.edu/aat/300106730,140,
HES-000397,relative_datation,paleolit–mezolit,Palaeolithic–Mesolithic,http://vocab.getty.edu/aat/300106724,300,
HES-000415,relative_datation,novověk,Modern Period,http://vocab.getty.edu/aat/300021033,2100,
HES-000420,relative_datation,novověk–industriální období,Modern–Industrial Period,http://vocab.getty.edu/aat/300021033,2500,
HES-001472,relative_datation,raný středověk 4,Early Middle Ages 4,http://vocab.getty.edu/aat/300020766,1850,
HES-001471,relative_datation,raný středověk 3,Early Middle Ages 3,http://vocab.getty.edu/aat/300020764,1840,
HES-000412,relative_datation,raný středověk,Early Middle Ages,http://vocab.getty.edu/aat/300020760,1800,
HES-000416,relative_datation,středověk–novověk,Middle Ages–Modern Period,http://vocab.getty.edu/aat/300020756,2300,
HES-000414,relative_datation,středověk,Middle Ages,http://vocab.getty.edu/aat/300020756,2000,
HES-000406,relative_datation,doba římská,Roman Period,http://vocab.getty.edu/aat/300020533,1200,
HES-001466,relative_datation,mladší doba římská,Late Roman Period,http://vocab.getty.edu/aat/300020533,1220,
HES-001465,relative_datation,starší doba římská,Early Roman Period,http://vocab.getty.edu/aat/300020533,1210,
HES-000404,relative_datation,doba laténská,La Tène Period,http://vocab.getty.edu/aat/300019384,1000,
HES-001462,relative_datation,pozdní doba laténská (LtD),Final La Tène Period (LtD),http://vocab.getty.edu/aat/300019384,1040,
HES-001461,relative_datation,mladší–pozdní doba laténská (LtC2–D),Late–Final La Tène Period (LtC2–D),http://vocab.getty.edu/aat/300019384,1030,
HES-001460,relative_datation,střední/mladší doba laténská (LtC1–2),Middle/Late La Tène Period (LtC1–2),http://vocab.getty.edu/aat/300019384,1025,
HES-001459,relative_datation,střední doba laténská (LtB–C1),Middle La Tène Period (LtB–C1),http://vocab.getty.edu/aat/300019384,1020,
HES-001458,relative_datation,časná doba laténská (LtA),Early La Tène Period (LtA),http://vocab.getty.edu/aat/300019384,1010,
HES-000402,relative_datation,doba halštatská,Hallstatt Period,http://vocab.getty.edu/aat/300019368,800,
HES-001487,relative_datation,mladší doba halštatská (HaD2–3),Late Hallstatt Period (HaD2–3),http://vocab.getty.edu/aat/300019368,830,
HES-001485,relative_datation,starší doba halštatská (HaC–D1),Early Hallstatt Period (HaC–D1),http://vocab.getty.edu/aat/300019368,810,
HES-001482,relative_datation,období popelnicových polí,Urnfield Period,http://vocab.getty.edu/aat/300019362,730,
HES-000400,relative_datation,neolit–eneolit,Neolithic–Eneolithic,http://vocab.getty.edu/aat/300019332,600,
HES-000403,relative_datation,doba bronzová–halštatská,Bronze Age–Hallstatt Period,http://vocab.getty.edu/aat/300019279,900,
HES-001486,relative_datation,HaD–LtA,HaD–LtA,http://vocab.getty.edu/aat/300019279,820,
HES-000409,relative_datation,doba římská–stěhování národů,Roman–Migration Period,http://vocab.getty.edu/aat/300019279,1500,
HES-000407,relative_datation,doba laténská–římská,La Tène–Roman Period,http://vocab.getty.edu/aat/300019279,1300,
HES-000405,relative_datation,doba halštatská–laténská,Hallstatt–La Tène Period,http://vocab.getty.edu/aat/300019279,1100,
HES-001483,relative_datation,mladší doba bronzová,Late Bronze Age,http://vocab.getty.edu/aat/300019278,740,
HES-001484,relative_datation,pozdní doba bronzová,Final Bronze Age,http://vocab.getty.edu/aat/300019278,750,
HES-001481,relative_datation,střední doba bronzová,Middle Bronze Age,http://vocab.getty.edu/aat/300019277,720,
HES-001480,relative_datation,starší doba bronzová,Early Bronze Age,http://vocab.getty.edu/aat/300019276,710,
HES-000401,relative_datation,doba bronzová,Bronze Age,http://vocab.getty.edu/aat/300019275,700,
HES-001474,relative_datation,střední–mladší neolit,Middle–Late Neolithic,http://vocab.getty.edu/aat/300019272,420,
HES-001473,relative_datation,starší neolit,Early Neolithic,http://vocab.getty.edu/aat/300019270,410,
HES-000398,relative_datation,neolit,Neolithic,http://vocab.getty.edu/aat/300019267,400,
HES-000396,relative_datation,mezolit,Mesolithic,http://vocab.getty.edu/aat/300019264,200,
HES-001467,relative_datation,mladší paleolit,Upper Palaeolithic,http://vocab.getty.edu/aat/300019262,130,
HES-001464,relative_datation,střední paleolit,Middle Palaeolithic,http://vocab.getty.edu/aat/300019261,120,
HES-001463,relative_datation,starší paleolit,Lower Palaeolithic,http://vocab.getty.edu/aat/300019260,110,
HES-000395,relative_datation,paleolit,Palaeolithic,http://vocab.getty.edu/aat/300019258,100,
HES-000277,relative_datation,rané středohradištní období,Early Middle Hillfort Period,http://vocab.getty.edu/aat/300020764,1841,HES-001471
HES-000301,relative_datation,raný středověk 2,Early Middle Ages 2,http://vocab.getty.edu/aat/300020760,1830,HES-000412
HES-000283,relative_datation,magdalénien,Magdalenian,http://vocab.getty.edu/aat/300019305,136,HES-001467
