vid,id,name,name_en,external_uri,weight,parent
temporal_subjects,HES-000411,pravěk,prehistory,http://vocab.getty.edu/aat/300417277,1700,
temporal_subjects,HES-000418,datace neurčena,unspecified dating,http://vocab.getty.edu/aat/300379012,2600,
temporal_subjects,HES-000417,industriální období,Industrial Period,http://vocab.getty.edu/aat/300264736,2400,
temporal_subjects,HES-000413,vrcholný–pozdní středověk,High–Late Middle Ages,http://vocab.getty.edu/aat/300111307,1900,
temporal_subjects,HES-000408,doba stěhování národů,Migration Period,http://vocab.getty.edu/aat/300106913,1400,
temporal_subjects,HES-001470,mladší doba stěhování národů,Late Migration Period,http://vocab.getty.edu/aat/300106913,1420,
temporal_subjects,HES-001469,starší doba stěhování národů,Early Migration Period,http://vocab.getty.edu/aat/300106913,1410,
temporal_subjects,HES-000399,eneolit,Eneolithic,http://vocab.getty.edu/aat/300106757,500,
temporal_subjects,HES-001478,mladší eneolit,Late Eneolithic,http://vocab.getty.edu/aat/300106755,540,
temporal_subjects,HES-001477,střední eneolit,Middle Eneolithic,http://vocab.getty.edu/aat/300106753,530,
temporal_subjects,HES-001476,starší eneolit,Early Eneolithic,http://vocab.getty.edu/aat/300106751,520,
temporal_subjects,HES-001475,časný eneolit,Proto-Eneolithic,http://vocab.getty.edu/aat/300106751,510,
temporal_subjects,HES-001479,mladší–pozdní eneolit,Late–Final Eneolithic,http://vocab.getty.edu/aat/300106747,550,
temporal_subjects,HES-001468,pozdní paleolit,Epipalaeolithic,http://vocab.getty.edu/aat/300106730,140,
temporal_subjects,HES-000397,paleolit–mezolit,Palaeolithic–Mesolithic,http://vocab.getty.edu/aat/300106724,300,
temporal_subjects,HES-000415,novověk,Modern Period,http://vocab.getty.edu/aat/300021033,2100,
temporal_subjects,HES-000420,novověk–industriální období,Modern–Industrial Period,http://vocab.getty.edu/aat/300021033,2500,
temporal_subjects,HES-001472,raný středověk 4,Early Middle Ages 4,http://vocab.getty.edu/aat/300020766,1850,
temporal_subjects,HES-001471,raný středověk 3,Early Middle Ages 3,http://vocab.getty.edu/aat/300020764,1840,
temporal_subjects,HES-000412,raný středověk,Early Middle Ages,http://vocab.getty.edu/aat/300020760,1800,
temporal_subjects,HES-000416,středověk–novověk,Middle Ages–Modern Period,http://vocab.getty.edu/aat/300020756,2300,
temporal_subjects,HES-000414,středověk,Middle Ages,http://vocab.getty.edu/aat/300020756,2000,
temporal_subjects,HES-000406,doba římská,Roman Period,http://vocab.getty.edu/aat/300020533,1200,
temporal_subjects,HES-001466,mladší doba římská,Late Roman Period,http://vocab.getty.edu/aat/300020533,1220,
temporal_subjects,HES-001465,starší doba římská,Early Roman Period,http://vocab.getty.edu/aat/300020533,1210,
temporal_subjects,HES-000404,doba laténská,La Tène Period,http://vocab.getty.edu/aat/300019384,1000,
temporal_subjects,HES-001462,pozdní doba laténská (LtD),Final La Tène Period (LtD),http://vocab.getty.edu/aat/300019384,1040,
temporal_subjects,HES-001461,mladší–pozdní doba laténská (LtC2–D),Late–Final La Tène Period (LtC2–D),http://vocab.getty.edu/aat/300019384,1030,
temporal_subjects,HES-001460,střední/mladší doba laténská (LtC1–2),Middle/Late La Tène Period (LtC1–2),http://vocab.getty.edu/aat/300019384,1025,
temporal_subjects,HES-001459,střední doba laténská (LtB–C1),Middle La Tène Period (LtB–C1),http://vocab.getty.edu/aat/300019384,1020,
temporal_subjects,HES-001458,časná doba laténská (LtA),Early La Tène Period (LtA),http://vocab.getty.edu/aat/300019384,1010,
temporal_subjects,HES-000402,doba halštatská,Hallstatt Period,http://vocab.getty.edu/aat/300019368,800,
temporal_subjects,HES-001487,mladší doba halštatská (HaD2–3),Late Hallstatt Period (HaD2–3),http://vocab.getty.edu/aat/300019368,830,
temporal_subjects,HES-001485,starší doba halštatská (HaC–D1),Early Hallstatt Period (HaC–D1),http://vocab.getty.edu/aat/300019368,810,
